id,run_id,experiment_id,question_id,language,mitigation_enabled,original_query,normalized_query,mitigation_applied,retrieved_document_ids,retrieved_context,generated_answer,faithfulness_score,hallucination_flag,faithfulness_explanation,embedding_model,generator_model,judge_model,started_at,completed_at,error
24,6058dbda-a9af-4970-9b2d-172a9a471ef5,english_baseline,DEV-Q03,english,0,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:37.557772+00:00,2026-09-22T12:31:37.698302+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
42,ad98ccff-3ccc-4513-ad9c-97a0bda33602,english_baseline,DEV-Q03,english,0,What is the procedure for converting a physical SIM card to an eSIM?,,0,"[""ef57775e6583affc_c0"", ""933fe29da7866ce5_c0"", ""7734bc2b7cac2e90_c9"", ""a10c7fc9f1613ba3_c0"", ""4a59037b0e30a112_c0""]","Please answer the following query based only on the context provided below.

<context>
--- Document 1 ---
Question: What is the procedure for converting a physical SIM card to an eSIM?
Answer: Submit an eSIM upgrade request through the mobile app. You will receive a QR code via your verified email address. Scan this QR code in your device Cellular Settings while connected to Wi-Fi.

--- Document 2 ---
Question: Do I need a new SIM card to access 5G network speeds?
Answer: No new SIM card is required if you already possess a 4G LTE SIM card. You only need a 5G-compatible device with enabled 5G network mode in areas covered by 5G transmission towers.

--- Document 3 ---
mission of authenticated family tax filings, bank declarations, and income verification documents.

## Section 4: Examination Conduct and Integrity Policy

--- Document 4 ---
Question: How do I activate international roaming on my mobile postpaid connection?
Answer: International roaming can be enabled through the self-care mobile portal under 'Manage Services' or by texting 'ACT IR' to 199 at least 4 hours before scheduled departure.

--- Document 5 ---
What documents are required for outward foreign currency wire transfers?

Outward remittances under the Liberalised Remittance Scheme (LRS) require submission of Form A2, a signed declaration of remittance purpose, valid passport copy, recipient bank SWIFT code, and Permanent Account Number (PAN) card verification.
</context>

Query: What is the procedure for converting a physical SIM card to an eSIM?
",Submit an eSIM upgrade request through the mobile app. You will receive a QR code via your verified email address. Scan this QR code in your device’s Cellular Settings while connected to Wi‑Fi.,1.0,0,"The answer exactly matches the content of Document 1, which states that to convert a physical SIM to an eSIM one should submit an eSIM upgrade request via the mobile app, receive a QR code by email, and scan it in the device’s Cellular Settings while on Wi‑Fi. All factual claims in the answer are fully supported by the context and none are contradicted.",intfloat/multilingual-e5-base,openai/gpt-oss-20b,openai/gpt-oss-20b,2026-09-22T12:36:29.626328+00:00,2026-09-22T12:36:31.333698+00:00,
7,f2dcb166-9e1e-4070-b70b-935ef8ca3276,english_mitigated,DEV-Q01,english,1,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:45.318223+00:00,2026-09-22T12:13:45.445949+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
25,a8fae5d9-44e8-4f30-9384-e7e00db59130,english_mitigated,DEV-Q01,english,1,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:38.209611+00:00,2026-09-22T12:31:38.346924+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
43,ab37aebc-5635-439c-bf5a-ec83f8ca32a4,english_mitigated,DEV-Q01,english,1,How do I activate international roaming on my mobile postpaid connection?,,0,"[""a10c7fc9f1613ba3_c0"", ""ef57775e6583affc_c0"", ""933fe29da7866ce5_c0"", ""4a59037b0e30a112_c0"", ""db2baa301da17199_c0""]","Please answer the following query based only on the context provided below.

<context>
--- Document 1 ---
Question: How do I activate international roaming on my mobile postpaid connection?
Answer: International roaming can be enabled through the self-care mobile portal under 'Manage Services' or by texting 'ACT IR' to 199 at least 4 hours before scheduled departure.

--- Document 2 ---
Question: What is the procedure for converting a physical SIM card to an eSIM?
Answer: Submit an eSIM upgrade request through the mobile app. You will receive a QR code via your verified email address. Scan this QR code in your device Cellular Settings while connected to Wi-Fi.

--- Document 3 ---
Question: Do I need a new SIM card to access 5G network speeds?
Answer: No new SIM card is required if you already possess a 4G LTE SIM card. You only need a 5G-compatible device with enabled 5G network mode in areas covered by 5G transmission towers.

--- Document 4 ---
What documents are required for outward foreign currency wire transfers?

Outward remittances under the Liberalised Remittance Scheme (LRS) require submission of Form A2, a signed declaration of remittance purpose, valid passport copy, recipient bank SWIFT code, and Permanent Account Number (PAN) card verification.

--- Document 5 ---
Question: What is the notice period for terminating a broadband connection?
Answer: Broadband connection cancellation requires a written notice of 15 calendar days submitted via the customer portal or at an authorized regional experience center.
</context>

Query: How do I activate international roaming on my mobile postpaid connection?
",International roaming can be enabled through the self‑care mobile portal under **“Manage Services”** or by texting **“ACT IR”** to **199** at least 4 hours before your scheduled departure.,1.0,0,The answer repeats exactly the information given in Document 1: it states that international roaming can be enabled via the self‑care mobile portal under ‘Manage Services’ or by texting ‘ACT IR’ to 199 at least 4 hours before departure. All claims are fully supported by the context and none are contradicted.,intfloat/multilingual-e5-base,openai/gpt-oss-20b,openai/gpt-oss-20b,2026-09-22T12:36:31.846102+00:00,2026-09-22T12:36:33.277148+00:00,
8,805e534a-17c2-4416-94d9-7f44f8641f53,english_mitigated,DEV-Q02,english,1,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:45.992477+00:00,2026-09-22T12:13:46.158424+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
26,6a9c92d3-75df-48de-8772-7bcd9b2d5697,english_mitigated,DEV-Q02,english,1,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:38.897826+00:00,2026-09-22T12:31:39.060909+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
44,8e5a5432-a2fa-46d6-bdd7-e6bc093cacfa,english_mitigated,DEV-Q02,english,1,What documents are required for outward foreign currency wire transfers?,,0,"[""4a59037b0e30a112_c0"", ""7734bc2b7cac2e90_c9"", ""7734bc2b7cac2e90_c3"", ""7734bc2b7cac2e90_c8"", ""7734bc2b7cac2e90_c2""]","Please answer the following query based only on the context provided below.

<context>
--- Document 1 ---
What documents are required for outward foreign currency wire transfers?

Outward remittances under the Liberalised Remittance Scheme (LRS) require submission of Form A2, a signed declaration of remittance purpose, valid passport copy, recipient bank SWIFT code, and Permanent Account Number (PAN) card verification.

--- Document 2 ---
mission of authenticated family tax filings, bank declarations, and income verification documents.

## Section 4: Examination Conduct and Integrity Policy

--- Document 3 ---
ngual curricula must submit official transcripts translated into English by a certified authority.

## Section 2: Grading System and Academic Standing

--- Document 4 ---
ship annually, scholars must maintain a minimum CGPA of 3.60 and have zero disciplinary violations. Need-based financial assistance applications open annually on June 1st and require submission of authenticated family tax filings, bank declarations, and income verification documents.

--- Document 5 ---
3.0 out of 4.0 or an equivalent 75% aggregate in their secondary school certification examinations. International applicants whose primary medium of education was not English are required to present valid language proficiency scores: either an IELTS Academic overall band of at least 6.5 with no individual band below 6.0, or a TOEFL iBT score of 85 or above. Candidates from bilingual curricula must submit official transcripts translated into English by a certified authority.
</context>

Query: What documents are required for outward foreign currency wire transfers?
","Form A2, a signed declaration of remittance purpose, a valid passport copy, the recipient bank’s SWIFT code, and verification of the Permanent Account Number (PAN) card.",1.0,0,"All factual claims in the answer exactly match the information provided in Document 1 of the context. The answer lists the required documents—Form A2, signed declaration, valid passport copy, recipient bank SWIFT code, and PAN card verification—which are precisely the items specified in the context. No unsupported or contradictory statements are present.",intfloat/multilingual-e5-base,openai/gpt-oss-20b,openai/gpt-oss-20b,2026-09-22T12:36:33.788644+00:00,2026-09-22T12:36:35.282689+00:00,
9,52fc6985-3b38-4449-a928-d9383a97528c,english_mitigated,DEV-Q03,english,1,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:46.708902+00:00,2026-09-22T12:13:46.844814+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
27,cdb5927f-9ff0-40d1-8ac9-5925fac1c5d6,english_mitigated,DEV-Q03,english,1,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:39.606413+00:00,2026-09-22T12:31:39.745146+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
45,58e6ba01-3250-45f0-9da5-73779684c713,english_mitigated,DEV-Q03,english,1,What is the procedure for converting a physical SIM card to an eSIM?,,0,"[""ef57775e6583affc_c0"", ""933fe29da7866ce5_c0"", ""7734bc2b7cac2e90_c9"", ""a10c7fc9f1613ba3_c0"", ""4a59037b0e30a112_c0""]","Please answer the following query based only on the context provided below.

<context>
--- Document 1 ---
Question: What is the procedure for converting a physical SIM card to an eSIM?
Answer: Submit an eSIM upgrade request through the mobile app. You will receive a QR code via your verified email address. Scan this QR code in your device Cellular Settings while connected to Wi-Fi.

--- Document 2 ---
Question: Do I need a new SIM card to access 5G network speeds?
Answer: No new SIM card is required if you already possess a 4G LTE SIM card. You only need a 5G-compatible device with enabled 5G network mode in areas covered by 5G transmission towers.

--- Document 3 ---
mission of authenticated family tax filings, bank declarations, and income verification documents.

## Section 4: Examination Conduct and Integrity Policy

--- Document 4 ---
Question: How do I activate international roaming on my mobile postpaid connection?
Answer: International roaming can be enabled through the self-care mobile portal under 'Manage Services' or by texting 'ACT IR' to 199 at least 4 hours before scheduled departure.

--- Document 5 ---
What documents are required for outward foreign currency wire transfers?

Outward remittances under the Liberalised Remittance Scheme (LRS) require submission of Form A2, a signed declaration of remittance purpose, valid passport copy, recipient bank SWIFT code, and Permanent Account Number (PAN) card verification.
</context>

Query: What is the procedure for converting a physical SIM card to an eSIM?
",Submit an eSIM upgrade request through the mobile app. You will receive a QR code via your verified email address. Scan this QR code in your device’s Cellular Settings while connected to Wi‑Fi.,1.0,0,"The answer exactly matches the content of Document 1, which states that to convert a physical SIM to an eSIM one should submit an eSIM upgrade request via the mobile app, receive a QR code by email, and scan it in the device’s Cellular Settings while on Wi‑Fi. All factual claims in the answer are fully supported by the context and there are no contradictions.",intfloat/multilingual-e5-base,openai/gpt-oss-20b,openai/gpt-oss-20b,2026-09-22T12:36:35.796398+00:00,2026-09-22T12:36:37.470721+00:00,
16,d17cd434-0c07-46b4-91e7-c708a103daf3,hindi_english_baseline,DEV-Q01,hindi_english,0,Mere mobile postpaid connection par international roaming kaise activate karu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:51.518851+00:00,2026-09-22T12:13:51.687217+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
34,ec48b767-72e5-41b7-a099-c50ecac4e5bb,hindi_english_baseline,DEV-Q01,hindi_english,0,Mere mobile postpaid connection par international roaming kaise activate karu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:44.590226+00:00,2026-09-22T12:31:44.734299+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
52,cab0016b-9e81-4760-8693-03a3bb871592,hindi_english_baseline,DEV-Q01,hindi_english,0,Mere mobile postpaid connection par international roaming kaise activate karu?,,0,"[""a10c7fc9f1613ba3_c0"", ""ef57775e6583affc_c0"", ""933fe29da7866ce5_c0"", ""4a59037b0e30a112_c0"", ""650a8d084f403647_c0""]","Please answer the following query based only on the context provided below.

<context>
--- Document 1 ---
Question: How do I activate international roaming on my mobile postpaid connection?
Answer: International roaming can be enabled through the self-care mobile portal under 'Manage Services' or by texting 'ACT IR' to 199 at least 4 hours before scheduled departure.

--- Document 2 ---
Question: What is the procedure for converting a physical SIM card to an eSIM?
Answer: Submit an eSIM upgrade request through the mobile app. You will receive a QR code via your verified email address. Scan this QR code in your device Cellular Settings while connected to Wi-Fi.

--- Document 3 ---
Question: Do I need a new SIM card to access 5G network speeds?
Answer: No new SIM card is required if you already possess a 4G LTE SIM card. You only need a 5G-compatible device with enabled 5G network mode in areas covered by 5G transmission towers.

--- Document 4 ---
What documents are required for outward foreign currency wire transfers?

Outward remittances under the Liberalised Remittance Scheme (LRS) require submission of Form A2, a signed declaration of remittance purpose, valid passport copy, recipient bank SWIFT code, and Permanent Account Number (PAN) card verification.

--- Document 5 ---
What is the daily transaction limit for UPI transfers?

The standard daily limit for Unified Payments Interface (UPI) transfers is 100,000 INR per bank account per 24-hour cycle. Specific peer-to-merchant or educational and healthcare transactions may have an enhanced threshold of up to 500,000 INR subject to bank verification.
</context>

Query: Mere mobile postpaid connection par international roaming kaise activate karu?
","International roaming ko activate karne ke liye:

1. **Self‑care mobile portal** – login karein aur “Manage Services” section me jaakar international roaming enable karein.  
2. **SMS method** – 4 ghante pehle apne scheduled departure se, “ACT IR” text karein 199 number par.  

In dono tariko se aap apne postpaid connection par international roaming activate kar sakte hain.",1.0,0,All factual claims in the answer directly match the information provided in Document 1. The answer correctly states that international roaming can be enabled via the self‑care mobile portal under 'Manage Services' and that texting 'ACT IR' to 199 at least 4 hours before departure activates it. It also correctly notes that these methods apply to a postpaid connection. No unsupported or contradictory statements are present.,intfloat/multilingual-e5-base,openai/gpt-oss-20b,openai/gpt-oss-20b,2026-09-22T12:37:58.846275+00:00,2026-09-22T12:38:10.179483+00:00,
17,0645ce8f-2c30-4578-8f45-9a95f64b2a39,hindi_english_baseline,DEV-Q02,hindi_english,0,Outward foreign currency wire transfers ke liye kaunse documents required hain?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:52.196623+00:00,2026-09-22T12:13:52.342013+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
35,d1fa90c4-3e79-46a5-aaa5-bf8a8f9819ad,hindi_english_baseline,DEV-Q02,hindi_english,0,Outward foreign currency wire transfers ke liye kaunse documents required hain?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:45.282622+00:00,2026-09-22T12:31:45.424575+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
53,7bdc913d-c96d-4080-9eb4-f2ec1853973a,hindi_english_baseline,DEV-Q02,hindi_english,0,Outward foreign currency wire transfers ke liye kaunse documents required hain?,,0,"[""4a59037b0e30a112_c0"", ""7734bc2b7cac2e90_c3"", ""7734bc2b7cac2e90_c9"", ""7734bc2b7cac2e90_c8"", ""7734bc2b7cac2e90_c2""]","Please answer the following query based only on the context provided below.

<context>
--- Document 1 ---
What documents are required for outward foreign currency wire transfers?

Outward remittances under the Liberalised Remittance Scheme (LRS) require submission of Form A2, a signed declaration of remittance purpose, valid passport copy, recipient bank SWIFT code, and Permanent Account Number (PAN) card verification.

--- Document 2 ---
ngual curricula must submit official transcripts translated into English by a certified authority.

## Section 2: Grading System and Academic Standing

--- Document 3 ---
mission of authenticated family tax filings, bank declarations, and income verification documents.

## Section 4: Examination Conduct and Integrity Policy

--- Document 4 ---
ship annually, scholars must maintain a minimum CGPA of 3.60 and have zero disciplinary violations. Need-based financial assistance applications open annually on June 1st and require submission of authenticated family tax filings, bank declarations, and income verification documents.

--- Document 5 ---
3.0 out of 4.0 or an equivalent 75% aggregate in their secondary school certification examinations. International applicants whose primary medium of education was not English are required to present valid language proficiency scores: either an IELTS Academic overall band of at least 6.5 with no individual band below 6.0, or a TOEFL iBT score of 85 or above. Candidates from bilingual curricula must submit official transcripts translated into English by a certified authority.
</context>

Query: Outward foreign currency wire transfers ke liye kaunse documents required hain?
","Outward foreign currency wire transfers ke liye nimn documents required hain:

- Form A2  
- Signed declaration of remittance purpose  
- Valid passport copy  
- Recipient bank SWIFT code  
- Permanent Account Number (PAN) card verification",1.0,0,The answer lists exactly the documents specified in Document 1 for outward foreign currency wire transfers. All claims are fully supported by the context.,intfloat/multilingual-e5-base,openai/gpt-oss-20b,openai/gpt-oss-20b,2026-09-22T12:38:10.689501+00:00,2026-09-22T12:38:23.312748+00:00,
18,46c77a3a-64e7-4808-89cc-9d8e75e757c9,hindi_english_baseline,DEV-Q03,hindi_english,0,Physical SIM card ko eSIM mein convert karne ka procedure kya hai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:52.853825+00:00,2026-09-22T12:13:53.022164+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
36,e4a8dd01-c3f1-48c0-8c72-a190929bb0d9,hindi_english_baseline,DEV-Q03,hindi_english,0,Physical SIM card ko eSIM mein convert karne ka procedure kya hai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:45.935997+00:00,2026-09-22T12:31:46.061432+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
