id,run_id,experiment_id,question_id,language,mitigation_enabled,original_query,normalized_query,mitigation_applied,retrieved_document_ids,retrieved_context,generated_answer,faithfulness_score,hallucination_flag,faithfulness_explanation,embedding_model,generator_model,judge_model,started_at,completed_at,error,_exclusion_reason
25,a8fae5d9-44e8-4f30-9384-e7e00db59130,english_mitigated,DEV-Q01,english,1,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:38.209611+00:00,2026-09-22T12:31:38.346924+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
8,805e534a-17c2-4416-94d9-7f44f8641f53,english_mitigated,DEV-Q02,english,1,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:45.992477+00:00,2026-09-22T12:13:46.158424+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
26,6a9c92d3-75df-48de-8772-7bcd9b2d5697,english_mitigated,DEV-Q02,english,1,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:38.897826+00:00,2026-09-22T12:31:39.060909+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
9,52fc6985-3b38-4449-a928-d9383a97528c,english_mitigated,DEV-Q03,english,1,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:46.708902+00:00,2026-09-22T12:13:46.844814+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
27,cdb5927f-9ff0-40d1-8ac9-5925fac1c5d6,english_mitigated,DEV-Q03,english,1,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:39.606413+00:00,2026-09-22T12:31:39.745146+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
16,d17cd434-0c07-46b4-91e7-c708a103daf3,hindi_english_baseline,DEV-Q01,hindi_english,0,Mere mobile postpaid connection par international roaming kaise activate karu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:51.518851+00:00,2026-09-22T12:13:51.687217+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
34,ec48b767-72e5-41b7-a099-c50ecac4e5bb,hindi_english_baseline,DEV-Q01,hindi_english,0,Mere mobile postpaid connection par international roaming kaise activate karu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:44.590226+00:00,2026-09-22T12:31:44.734299+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
17,0645ce8f-2c30-4578-8f45-9a95f64b2a39,hindi_english_baseline,DEV-Q02,hindi_english,0,Outward foreign currency wire transfers ke liye kaunse documents required hain?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:52.196623+00:00,2026-09-22T12:13:52.342013+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
35,d1fa90c4-3e79-46a5-aaa5-bf8a8f9819ad,hindi_english_baseline,DEV-Q02,hindi_english,0,Outward foreign currency wire transfers ke liye kaunse documents required hain?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:45.282622+00:00,2026-09-22T12:31:45.424575+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
18,46c77a3a-64e7-4808-89cc-9d8e75e757c9,hindi_english_baseline,DEV-Q03,hindi_english,0,Physical SIM card ko eSIM mein convert karne ka procedure kya hai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:52.853825+00:00,2026-09-22T12:13:53.022164+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
36,e4a8dd01-c3f1-48c0-8c72-a190929bb0d9,hindi_english_baseline,DEV-Q03,hindi_english,0,Physical SIM card ko eSIM mein convert karne ka procedure kya hai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:45.935997+00:00,2026-09-22T12:31:46.061432+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
19,0d05addc-9530-46ca-a1f8-2fae1f578bb7,hindi_english_mitigated,DEV-Q01,hindi_english,1,Mere mobile postpaid connection par international roaming kaise activate karu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:53.568675+00:00,2026-09-22T12:13:53.702742+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
37,15a52448-a24c-4a6b-9bdf-045180daaa25,hindi_english_mitigated,DEV-Q01,hindi_english,1,Mere mobile postpaid connection par international roaming kaise activate karu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:46.606378+00:00,2026-09-22T12:31:46.817021+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
20,a2c76f06-b2af-410d-b401-3dbd3625dd29,hindi_english_mitigated,DEV-Q02,hindi_english,1,Outward foreign currency wire transfers ke liye kaunse documents required hain?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:54.250206+00:00,2026-09-22T12:13:54.388100+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
38,e9c69806-49c7-477c-8632-585e04ac4f9c,hindi_english_mitigated,DEV-Q02,hindi_english,1,Outward foreign currency wire transfers ke liye kaunse documents required hain?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:47.362105+00:00,2026-09-22T12:31:47.568240+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
21,f4d8746b-504f-47fd-8b53-56ba87e147fd,hindi_english_mitigated,DEV-Q03,hindi_english,1,Physical SIM card ko eSIM mein convert karne ka procedure kya hai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:54.932381+00:00,2026-09-22T12:13:55.050057+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
39,5929354e-5c78-46d5-8737-35c165fe0f59,hindi_english_mitigated,DEV-Q03,hindi_english,1,Physical SIM card ko eSIM mein convert karne ka procedure kya hai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:48.118113+00:00,2026-09-22T12:31:48.309432+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
10,eda8e350-1a55-4f21-82cc-d19bd430956e,tamil_english_baseline,DEV-Q01,tamil_english,0,Ennoda mobile postpaid connection-la international roaming eppadi activate panrathu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:47.392329+00:00,2026-09-22T12:13:47.547990+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
28,c24dc924-678a-452e-a35f-df7fd67f6225,tamil_english_baseline,DEV-Q01,tamil_english,0,Ennoda mobile postpaid connection-la international roaming eppadi activate panrathu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:40.290579+00:00,2026-09-22T12:31:40.427357+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
11,df3a9144-ccb6-4ba1-9498-320c1b8a03a7,tamil_english_baseline,DEV-Q02,tamil_english,0,Outward foreign currency wire transfers anuppa enna documents thevai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:48.060103+00:00,2026-09-22T12:13:48.215376+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
29,ad46796d-3ef5-4704-a3ce-87162e840819,tamil_english_baseline,DEV-Q02,tamil_english,0,Outward foreign currency wire transfers anuppa enna documents thevai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:40.967904+00:00,2026-09-22T12:31:41.115906+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
12,d9859973-0e5c-4ab2-a83b-a1a1f957e2b0,tamil_english_baseline,DEV-Q03,tamil_english,0,Oru physical SIM card-ai eSIM-aaga maatra procedure enna?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:48.731253+00:00,2026-09-22T12:13:48.923113+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
30,884a458c-0812-4ab7-9613-3f5ed5acc394,tamil_english_baseline,DEV-Q03,tamil_english,0,Oru physical SIM card-ai eSIM-aaga maatra procedure enna?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:41.661223+00:00,2026-09-22T12:31:41.806079+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
13,11397fa3-1479-4453-adc3-95731ddc93e2,tamil_english_mitigated,DEV-Q01,tamil_english,1,Ennoda mobile postpaid connection-la international roaming eppadi activate panrathu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:49.470347+00:00,2026-09-22T12:13:49.607688+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
31,c6bb1b68-575f-46fe-90b8-81d988d5033c,tamil_english_mitigated,DEV-Q01,tamil_english,1,Ennoda mobile postpaid connection-la international roaming eppadi activate panrathu?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:42.337691+00:00,2026-09-22T12:31:42.549653+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
14,c8788f78-ab34-45db-b5c9-94cd8064f97a,tamil_english_mitigated,DEV-Q02,tamil_english,1,Outward foreign currency wire transfers anuppa enna documents thevai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:50.156055+00:00,2026-09-22T12:13:50.296077+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
32,f996c94b-eb2c-4837-9180-776ac215a4f6,tamil_english_mitigated,DEV-Q02,tamil_english,1,Outward foreign currency wire transfers anuppa enna documents thevai?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:43.095514+00:00,2026-09-22T12:31:43.305407+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
15,b3213658-cbbc-4010-8bda-bb75a033101b,tamil_english_mitigated,DEV-Q03,tamil_english,1,Oru physical SIM card-ai eSIM-aaga maatra procedure enna?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:50.843856+00:00,2026-09-22T12:13:50.970505+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
33,f6f1e42c-a0ed-4b50-ad69-cdabe27f3b3b,tamil_english_mitigated,DEV-Q03,tamil_english,1,Oru physical SIM card-ai eSIM-aaga maatra procedure enna?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:43.851589+00:00,2026-09-22T12:31:44.044087+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
